0,85,1,4
1,86,1,7
2,83,1,8
3,67,1,4
4,80,1,8
5,79,1,6
6,79,1,2
7,85,1,4
8,82,1,6
9,75,1,6
10,87,1,6
11,80,1,3
12,70,1,4
13,82,1,2
14,63,1,6
15,68,1,3
16,90,1,8
17,80,1,9
18,82,1,8
19,74,1,7
20,75,1,4
21,80,1,8
22,85,1,6
23,81,1,9
24,87,1,10
25,72,1,5
26,81,1,4
27,78,1,6
28,93,1,7
29,91,1,7
30,71,1,3
31,90,1,6
32,90,1,2
33,87,1,5
34,84,1,6
35,91,1,4
36,77,1,7
37,81,1,2
38,66,1,6
39,78,1,5
40,70,1,3
41,80,1,6
42,84,1,5
43,84,1,9
44,73,1,7
45,80,1,4
46,72,1,10
47,86,1,5
48,83,1,7
49,85,1,7
50,87,1,2
51,86,1,5
52,82,1,7
53,84,1,4
54,76,1,5
55,74,1,4
56,81,1,4
57,83,1,4
58,81,1,5
59,78,1,5
60,73,1,6
61,84,1,2
62,87,1,3
63,85,1,2
64,78,1,2
65,87,1,8
66,77,1,8
67,82,1,5
68,75,1,7
69,68,1,5
70,84,1,5
71,94,1,6
72,85,1,5
73,84,1,8
74,91,1,7
75,79,1,3
76,78,1,7
77,71,1,3
78,86,1,7
79,87,1,5
80,91,1,5
81,80,1,5
82,76,1,2
83,85,1,8
84,83,1,7
85,66,1,3
86,79,1,2
87,74,1,7
88,90,1,5
89,80,1,5
90,84,1,6
91,79,1,7
92,81,1,3
93,100,1,7
94,69,1,3
95,82,1,6
96,74,1,5
97,78,1,4
98,75,1,3
99,93,1,6
100,77,0,6
101,85,0,6
102,79,0,4
103,72,0,2
104,83,0,3
105,88,0,2
106,91,0,7
107,81,0,1
108,75,0,2
109,88,0,1
110,77,0,5
111,65,0,3
112,89,0,4
113,81,0,5
114,87,0,1
115,88,0,7
116,70,0,5
117,83,0,4
118,85,0,1
119,91,0,2
120,90,0,5
121,88,0,4
122,95,0,2
123,89,0,0
124,79,0,1
125,79,0,3
126,68,0,0
127,89,0,2
128,96,0,1
129,77,0,8
130,80,0,2
131,80,0,2
132,91,0,1
133,82,0,6
134,81,0,4
135,82,0,6
136,86,0,5
137,92,0,3
138,84,0,3
139,81,0,3
140,78,0,0
141,89,0,2
142,88,0,4
143,73,0,4
144,74,0,4
145,87,0,3
146,73,0,5
147,85,0,2
148,93,0,4
149,78,0,4
150,68,0,2
151,84,0,2
152,81,0,5
153,78,0,0
154,80,0,1
155,81,0,4
156,81,0,3
157,83,0,2
158,78,0,5
159,82,0,1
160,80,0,2
161,72,0,4
162,78,0,0
163,91,0,1
164,82,0,4
165,69,0,6
166,83,0,4
167,75,0,2
168,80,0,2
169,77,0,3
170,71,0,1
171,70,0,2
172,74,0,3
173,83,0,5
174,84,0,2
175,80,0,7
176,87,0,0
177,88,0,7
178,83,0,4
179,87,0,6
180,88,0,3
181,78,0,3
182,88,0,4
183,92,0,1
184,90,0,4
185,71,0,3
186,83,0,1
187,92,0,3
188,81,0,5
189,73,0,3
190,87,0,7
191,77,0,0
192,84,0,2
193,88,0,2
194,84,0,3
195,79,0,2
196,79,0,1
197,71,0,2
198,77,0,3
199,87,0,4
