78,61,77,88,84
61,81,92,92,71
80,89,87,66,98
81,95,65,62,65
64,67,93,65,77
87,63,62,78,69
84,77,74,77,94
70,64,95,76,63
89,97,60,67,73
96,83,68,84,81
79,81,74,77,67
90,75,88,84,77
76,67,76,95,81
62,97,74,73,72
68,68,88,97,84
94,79,63,88,81
88,60,99,82,61
99,86,76,88,83
99,69,71,85,62
66,83,83,71,60
86,82,71,85,62
80,90,79,84,69
92,74,81,68,75
67,79,96,74,73
98,94,88,61,73
65,69,87,66,75
99,89,66,83,83
81,73,79,89,92
95,86,84,77,60
60,78,92,88,65
60,87,85,90,93
64,79,63,93,77
80,76,78,64,92
83,65,76,87,88
65,84,97,75,64
66,61,89,80,73
76,79,73,86,76
80,90,86,61,72
98,64,73,85,89
96,88,60,80,76
92,89,70,86,85
84,63,80,95,72
75,90,66,60,63
80,74,88,99,81
99,78,81,93,68
79,87,86,99,90
65,92,96,75,90
88,83,96,68,85
83,90,63,68,74
83,63,82,83,85
97,63,73,92,79
97,68,77,82,60
70,75,67,83,73
91,69,78,61,63
82,71,76,70,67
75,66,64,65,85
61,66,96,84,77
85,77,76,77,80
99,93,96,80,90
60,60,72,77,77
86,71,83,89,78
63,88,76,81,91
65,67,93,99,97
95,63,88,86,62
77,89,98,97,86
66,74,98,99,83
76,81,85,71,76
72,76,80,89,66
89,75,72,76,87
86,90,67,98,70
70,71,65,92,84
81,97,95,98,68
90,82,94,66,66
96,81,84,81,74
76,64,91,84,80
70,94,73,66,97
95,92,64,67,76
66,64,81,66,63
65,87,94,75,80
81,68,86,98,60
63,83,84,62,77
73,61,67,97,84
83,66,94,64,98
65,92,96,92,85
86,66,89,64,68
73,72,74,72,94
75,91,90,70,62
87,89,70,64,85
