60,87,82,51
85,92,80,59
83,71,52,68
67,55,74,87
97,75,67,82
77,86,56,52
63,91,79,73
60,78,55,62
85,70,70,72
64,61,66,51
70,66,69,65
95,90,47,65
81,54,72,87
70,69,64,73
93,76,58,67
73,86,76,88
99,92,62,79
87,79,76,57
89,59,81,57
67,57,77,77
60,86,53,83
99,55,62,65
93,75,62,75
83,64,46,71
96,56,74,81
64,70,46,72
86,80,74,49
92,77,70,82
85,92,68,74
64,86,56,63
69,91,62,59
90,82,81,86
82,84,69,50
65,56,62,56
66,73,51,67
78,74,47,80
91,85,52,71
77,89,58,49
77,76,70,63
99,93,55,83
92,80,58,50
79,56,68,78
99,63,53,73
77,54,46,67
62,79,62,75
71,74,61,57
90,79,66,83
68,54,73,62
74,62,57,65
90,74,62,71
